Pubchem ID, InChi, InChiKey, Canonical Smiles, Isomeric Smiles
75737,InChI=1S/C10H13NO2/c1-13-10(12)9(11)7-8-5-3-2-4-6-8/h2-6_9H_7_11H2_1H3,VSDUZFOSJDMAFZ-UHFFFAOYSA-N,COC(=O)C(CC1=CC=CC=C1)N,COC(=O)C(CC1=CC=CC=C1)N
76652,InChI=1S/C9H13NO/c10-9(7-11)6-8-4-2-1-3-5-8/h1-5_9_11H_6-7_10H2,STVVMTBJNDTZBF-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(CO)N,C1=CC=C(C=C1)CC(CO)N
76957,InChI=1S/C10H13NO3/c1-14-10(13)9(11)6-7-2-4-8(12)5-3-7/h2-5_9_12H_6_11H2_1H3,MWZPENIJLUWBSY-UHFFFAOYSA-N,COC(=O)C(CC1=CC=C(C=C1)O)N,COC(=O)C(CC1=CC=C(C=C1)O)N
77487,InChI=1S/C5H8O4/c1-9-5(8)3-2-4(6)7/h2-3H2_1H3_(H_6_7),JDRMYOQETPMYQX-UHFFFAOYSA-N,COC(=O)CCC(=O)O,COC(=O)CCC(=O)O
77743,InChI=1S/C4H11NS/c1-6-4-2-3-5/h2-5H2_1H3,KKYSBGWCYXYOHA-UHFFFAOYSA-N,CSCCCN,CSCCCN
78579,InChI=1S/C2H4O3/c1-5-2(3)4/h1H3_(H_3_4),CXHHBNMLPJOKQD-UHFFFAOYSA-N,COC(=O)O,COC(=O)O
79019,InChI=1S/C5H13NO/c1-4(2)5(6)3-7/h4-5_7H_3_6H2_1-2H3,NWYYWIJOWOLJNR-UHFFFAOYSA-N,CC(C)C(CO)N,CC(C)C(CO)N
79094,InChI=1S/C5H10N2O3/c1-3(6)5(10)7-2-4(8)9/h3H_2_6H2_1H3_(H_7_10)(H_8_9),CXISPYVYMQWFLE-UHFFFAOYSA-N,CC(C(=O)NCC(=O)O)N,CC(C(=O)NCC(=O)O)N
86986,InChI=1S/C8H9NO2/c9-8(11)5-6-1-3-7(10)4-2-6/h1-4_10H_5H2_(H2_9_11),YBPAYPRLUDCSEY-UHFFFAOYSA-N,C1=CC(=CC=C1CC(=O)N)O,C1=CC(=CC=C1CC(=O)N)O
88955,InChI=1S/C6H10O5/c7-3-4-11-6(10)2-1-5(8)9/h7H_1-4H2_(H_8_9),DPIASIXITIGMOO-UHFFFAOYSA-N,C(CC(=O)OCCO)C(=O)O,C(CC(=O)OCCO)C(=O)O
